,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
82,1062.a2.txt,2067.42,1022.47,719.1,438.2,0,0,1
83,2057.a2.txt,1786.24,1127.38,717.42,585.65,0,1,0
84,1060.a2.txt,1398.26,925.75,752.17,617.16,7,1,3
85,0200.a2.txt,1643.99,1303.85,691.61,555.56,0,1,3
86,2048.a2.txt,1773.13,969.16,693.83,517.62,0,0,2
87,1041.a2.txt,1676.72,1375.15,639.32,470.45,2,0,3
88,4039.a2.txt,1508.2,1163.93,606.56,409.84,2,0,0
89,2007.a2.txt,1803.46,1015.12,907.13,442.76,5,0,5
90,0137.a2.txt,1692.13,1210.34,599.29,587.54,0,0,1
91,0146.a2.txt,1586.13,1418.07,672.27,493.7,0,0,0
92,1067.a2.txt,2324.72,1254.61,1020.91,455.1,0,0,2
93,5040.a2.txt,2079.08,1198.98,625.0,548.47,0,0,2
94,5007.a2.txt,2053.14,1014.49,797.1,241.55,1,0,0
95,3020.a2.txt,2088.68,886.81,735.12,326.72,2,1,0
96,1068.a2.txt,1555.02,1028.71,897.13,334.93,0,1,10
97,4015.a2.txt,2191.94,983.41,793.84,402.84,0,0,2
98,4017.a2.txt,1933.12,888.19,888.19,700.1,2,0,1
99,4011.a2.txt,2081.69,1304.35,579.71,434.78,1,0,2
100,5005.a2.txt,1739.13,1116.33,611.05,446.53,0,0,0
101,0176.a2.txt,2156.08,925.93,727.51,423.28,0,0,0
102,0168.a2.txt,2285.17,1274.79,783.76,434.37,2,3,0
103,0177.a2.txt,1500.56,985.44,828.67,571.11,0,1,1
104,4016.a2.txt,1554.25,1392.96,659.82,366.57,0,0,0
105,1048.a2.txt,2059.93,1123.6,692.88,440.07,0,0,1
106,4028.a2.txt,1893.56,1262.38,705.45,569.31,1,0,1
107,2049.a2.txt,1631.88,1081.59,550.28,645.16,0,1,2
108,2074.a2.txt,2030.52,938.97,927.23,504.69,2,1,7
109,2042.a2.txt,1812.08,1073.83,765.1,550.34,0,0,0
110,4006.a2.txt,2090.68,994.96,931.99,390.43,0,0,1
111,2032.a2.txt,2054.6,1206.9,962.64,531.61,0,0,0
112,3012.a2.txt,1495.45,1131.34,611.18,533.16,0,0,1
113,0161.a2.txt,2111.37,1125.29,672.85,522.04,0,1,5
114,5006.a2.txt,2106.02,1031.52,1303.72,329.51,0,0,3
115,2060.a2.txt,1636.11,1241.18,662.91,606.49,0,0,1
116,0236.a2.txt,1536.64,1111.11,827.42,496.45,0,0,0
117,2014.a2.txt,1941.92,1107.08,816.7,526.32,0,1,3
118,5041.a2.txt,1829.27,1273.71,718.16,420.05,0,0,0
119,0222.a2.txt,1926.49,1153.36,608.37,392.9,3,6,2
120,5036.a2.txt,2104.58,1032.68,875.82,287.58,0,0,0
121,3072.a2.txt,1859.96,973.74,809.63,601.75,1,0,0
122,0169.a2.txt,1831.98,1123.48,1234.82,526.32,1,0,1
123,0202.a2.txt,2094.43,1355.93,774.82,338.98,0,0,1
124,0224.a2.txt,1732.1,1085.45,450.35,357.97,4,0,1
125,5029.a2.txt,1921.12,1208.65,674.3,470.74,1,0,1
126,4041.a2.txt,1727.57,1461.79,653.38,409.75,0,0,0
127,1017.a2.txt,1797.95,881.85,950.34,496.58,3,2,6
128,2021.a2.txt,1807.51,1021.13,938.97,680.75,0,0,0
129,0180.a2.txt,1982.38,1167.4,638.77,605.73,1,0,0
130,5026.a2.txt,1688.47,1022.59,820.45,606.42,0,1,7
